"Cell","AgeGroup","Exp","tmnt","mag","Protocol","Course","Time","TCOR","norm"
"1","16d11.P1","PND14","EtOH[50mM]","Control",187.331417813545,"NMDAr",6,-28,-16,0.849091153401294
"2","16d11.P1","PND14","EtOH[50mM]","Control",201.450883288739,"NMDAr",6,-27,-15,0.913088497603721
"3","16d11.P1","PND14","EtOH[50mM]","Control",211.896613819379,"NMDAr",6,-26,-14,0.96043441260239
"4","16d11.P1","PND14","EtOH[50mM]","Control",144.077839138813,"NMDAr",6,-25,-13,0.65304165228549
"5","16d11.P1","PND14","EtOH[50mM]","Control",193.49306186612,"NMDAr",8,-20,-12,0.877019183394941
"6","16d11.P1","PND14","EtOH[50mM]","Control",157.450350594426,"NMDAr",8,-19,-11,0.71365338153114
"7","16d11.P1","PND14","EtOH[50mM]","Control",181.068048505384,"NMDAr",8,-18,-10,0.820702047440766
"8","16d11.P1","PND14","EtOH[50mM]","Control",192.667634077945,"NMDAr",8,-17,-9,0.873277881263717
"9","16d11.P1","PND14","EtOH[50mM]","Control",179.536356799862,"NMDAr",10,-12,-8,0.813759560739516
"10","16d11.P1","PND14","EtOH[50mM]","Control",234.752825531387,"NMDAr",10,-11,-7,1.06403159555997
"11","16d11.P1","PND14","EtOH[50mM]","Control",194.205138655215,"NMDAr",10,-10,-6,0.880246715163076
"12","16d11.P1","PND14","EtOH[50mM]","Control",229.280006780915,"NMDAr",10,-9,-5,1.03922570854203
"13","16d11.P1","PND14","EtOH[50mM]","Control",216.067349298363,"NMDAr",12,-4,-4,0.979338527244319
"14","16d11.P1","PND14","EtOH[50mM]","Control",230.186814773558,"NMDAr",12,-3,-3,1.04333587144675
"15","16d11.P1","PND14","EtOH[50mM]","Control",223.746152877092,"NMDAr",12,-2,-2,1.01414317594395
"16","16d11.P1","PND14","EtOH[50mM]","Control",203.848692884671,"NMDAr",12,-1,-1,0.923956716822951
"17","16d11.P1","PND14","EtOH[50mM]","50mM",269.987547630149,"NMDAr",14,4,0,1.22373513688687
"18","16d11.P1","PND14","EtOH[50mM]","50mM",233.596064053592,"NMDAr",14,5,1,1.05878850313664
"19","16d11.P1","PND14","EtOH[50mM]","50mM",278.212761153163,"NMDAr",14,6,2,1.26101642220858
"20","16d11.P1","PND14","EtOH[50mM]","50mM",244.277215890014,"NMDAr",14,7,3,1.10720147965864
